title,duration,rating,voters,genre
115. Megamind vs. The Doom Syndicate,1h 23m,2.4,5.9K,Thriller
116. Apocalypse Z: The Beginning of the End,1h 57m,6.1,22K,Thriller
117. Never Let Go,1h 41m,5.4,17K,Thriller
118. Uprising,2h 6m,6.6,6.2K,Thriller
119. Push,1h 29m,4.7,742,Thriller
120. Greedy People,1h 52m,6.2,13K,Thriller
121. The Platform 2,1h 39m,4.9,43K,Thriller
122. Cellar Door,1h 37m,5.2,5.1K,Thriller
123. Boneyard,1h 36m,4.1,5.5K,Thriller
124. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,1h 44m,7.2,9.3K,Thriller
125. The Silent Hour,1h 39m,6.1,8.9K,Thriller
126. Levels,1h 33m,5.0,1.7K,Thriller
127. Under Paris,1h 44m,5.2,38K,Thriller
128. Die Alone,1h 30m,5.8,4.3K,Thriller
129. Bramayugam,2h 19m,7.8,15K,Thriller
130. Armor,1h 29m,3.6,5K,Thriller
131. The Wasp,1h 36m,6.1,5.4K,Thriller
132. Skincare,1h 36m,5.7,5.2K,Thriller
133. Canary Black,1h 41m,5.4,13K,Thriller
134. The Prosecutor,1h 57m,6.5,3.2K,Thriller
135. Succubus,1h 43m,4.6,1.5K,Thriller
136. Dead Mail,1h 46m,6.0,2.6K,Thriller
137. The Devil's Bath,2h 1m,6.6,7.1K,Thriller
138. Kishkindha Kaandam,2h 13m,8.0,13K,Thriller
139. Scurry,1h 30m,7.7,31,Thriller
140. The Old Bachelor,3h 12m,8.0,1.6K,Thriller
141. Take Cover,1h 30m,5.1,3.2K,Thriller
142. Night Call,1h 37m,6.7,2.8K,Thriller
143. On the Run,1h 40m,5.0,149,Thriller
144. Red Right Hand,1h 51m,5.5,6.3K,Thriller
145. Slingshot,1h 48m,5.7,11K,Thriller
146. Alien: Rubicon,1h 26m,2.4,661,Thriller
147. Chime,45m,6.4,2.9K,Thriller
148. Sew Torn,1h 40m,6.0,1.2K,Thriller
149. Black Dog,1h 56m,7.2,4.3K,Thriller
150. Trigger Warning,1h 46m,4.6,20K,Thriller
151. Shaitaan,2h 12m,6.5,55K,Thriller
152. Magpie,1h 30m,6.2,4.1K,Thriller
153. Life After Fighting,2h 6m,6.4,2.3K,Thriller
154. Marmalade,1h 39m,6.3,3.9K,Thriller
155. Twilight of the Warriors: Walled In,2h 6m,6.9,11K,Thriller
156. Whisper of the Witch,1h 35m,3.9,351,Thriller
157. Guns & Moses,1h 34m,6.5,267,Thriller
158. Everyone Is Going to Die,1h 24m,3.8,463,Thriller
159. Saint Clare,1h 32m,4.6,718,Thriller
160. 2073,1h 25m,5.1,3.4K,Thriller
161. Blackwater Lane,1h 48m,4.6,2.5K,Thriller
162. Killer Heat,1h 35m,5.6,14K,Thriller
163. Manjummel Boys,2h 15m,8.2,30K,Thriller
164. Santosh,2h 8m,7.1,2.9K,Thriller
165. Saripodhaa Sanivaaram,2h 46m,7.0,11K,Thriller
166. Black,1h 55m,7.1,3K,Thriller
167. Outbreak,1h 28m,4.4,1.5K,Thriller
168. Marco,2h 25m,6.7,24K,Thriller
169. Grave Torture,1h 57m,6.2,3.2K,Thriller
170. Do Patti,2h 6m,6.3,70K,Thriller
171. The Corpse Washer,1h 47m,6.1,1.4K,Thriller
172. The Exorcism,1h 35m,4.2,12K,Thriller
173. Winner,1h 43m,6.5,2.9K,Thriller
174. Sting,1h 31m,5.7,18K,Thriller
175. Amber Alert,1h 30m,6.1,6.2K,Thriller
176. Imaginary,1h 44m,4.7,18K,Thriller
177. Sookshma Darshini,2h 22m,7.8,12K,Thriller
178. The Soul Eater,1h 48m,5.8,3.2K,Thriller
179. The Kingdom,1h 52m,7.0,1.4K,Thriller
180. Bonhoeffer: Pastor. Spy. Assassin.,2h 13m,6.2,4.1K,Thriller
181. My Fault,2h,4.2,7.2K,Thriller
182. Something in the Water,1h 26m,4.1,5.4K,Thriller
183. Afraid,1h 24m,5.2,15K,Thriller
184. Humane,1h 33m,5.5,7.9K,Thriller
185. Undercover,1h 58m,7.1,5.1K,Thriller
186. Bagheera,2h 38m,6.7,8.1K,Thriller
187. Maranam,N/A,7.5,1K,Thriller
188. Damaged,1h 37m,4.7,7.9K,Thriller
189. Sector 36,2h 3m,7.1,26K,Thriller
190. Inside,1h 44m,6.3,731,Thriller
191. The Greatest of All Time,3h 3m,5.7,24K,Thriller
192. Bedspacer,1h 30m,4.4,405,Thriller
193. Restless,1h 29m,6.3,838,Thriller
194. Dead Talents Society,1h 51m,7.0,2.9K,Thriller
195. Rich Flu,1h 56m,5.0,6.9K,Thriller
196. Drive Back,1h 34m,4.5,775,Thriller
197. We Bury the Dead,1h 34m,6.3,156,Thriller
198. Grafted,1h 36m,5.6,2.8K,Thriller
199. Lake George,1h 58m,6.4,1.7K,Thriller
200. The Intruder,1h 41m,4.6,595,Thriller
201. Shell,1h 40m,6.7,86,Thriller
202. The Contract,1h 45m,7.0,89,Thriller
203. Escape,1h 34m,6.4,2.4K,Thriller
204. The Mouse Trap,1h 20m,2.4,3.8K,Thriller
205. Depravity,1h 57m,4.3,1.3K,Thriller
206. One of Those Days When Hemme Dies,1h 23m,6.3,1K,Thriller
207. V/H/S/Beyond,1h 54m,5.8,10K,Thriller
208. She's Got No Name,1h 34m,5.4,330,Thriller
209. Blood Star,1h 37m,6.3,6.3K,Thriller
210. Hidden Face,1h 55m,6.1,731,Thriller
211. The Inheritance,1h 25m,4.7,3.2K,Thriller
212. Things Will Be Different,1h 42m,5.2,3K,Thriller
213. No Way Up,1h 30m,4.6,11K,Thriller
214. How to Make a Killing,1h 49m,6.5,1.8K,Thriller
215. The Ruse,1h 45m,7.2,564,Thriller
216. Simp,1h 40m,3.2,169,Thriller
217. Pani,2h 23m,6.9,3.5K,Thriller
218. Aftermath,1h 37m,5.2,4.6K,Thriller
219. Thalavan,2h 11m,7.2,5.7K,Thriller
220. Viduthalai Part 2,2h 50m,7.7,17K,Thriller
221. Race for Glory: Audi vs. Lancia,1h 49m,5.8,5.3K,Thriller
222. Chief of Station,1h 37m,4.7,5K,Thriller
223. Singham Again,2h 24m,4.3,76K,Thriller
224. Brief History of a Family,1h 40m,6.8,573,Thriller
225. Somnium,1h 32m,8.4,64,Thriller
226. A Desert,1h 43m,5.6,676,Thriller
227. Code 8: Part II,1h 40m,5.7,16K,Thriller
228. Gazer,1h 54m,5.6,356,Thriller
229. Milk & Serial,1h 2m,6.6,2.8K,Thriller
230. Breathe,1h 33m,4.3,7.7K,Thriller
231. Bitter Gold,1h 23m,7.7,91,Thriller
232. Badland Hunters,1h 47m,5.9,13K,Thriller
233. Devil Is a Liar,1h 39m,N/A,N/A,Thriller
234. The Front Room,1h 34m,4.6,6.1K,Thriller
235. The Clean Up Crew,1h 35m,4.2,1.4K,Thriller
236. Despatch,2h 33m,4.4,4.8K,Thriller
237. Sikandar Ka Muqaddar,2h 22m,6.0,25K,Thriller
238. The Roundup: Punishment,1h 49m,6.6,6K,Thriller
239. A Mistake,1h 41m,5.7,1.3K,Thriller
240. Sons,1h 40m,6.4,2.5K,Thriller
241. Maldoror,2h 35m,6.7,1.3K,Thriller
242. Sumala,1h 52m,5.8,1.3K,Thriller
243. Classified,1h 45m,3.7,3K,Thriller
244. Merry Christmas,2h 24m,6.9,30K,Thriller
245. Zero,1h 28m,5.8,91,Thriller
