title,duration,rating,voters,genre
119. Drive Back,1h 34m,4.5,775,Horror
120. We Bury the Dead,1h 34m,6.3,156,Horror
121. Grafted,1h 36m,5.6,2.8K,Horror
122. Shell,1h 40m,6.7,86,Horror
123. The Mouse Trap,1h 20m,2.4,3.8K,Horror
124. Pedro Páramo,2h 10m,6.3,3.2K,Horror
125. V/H/S/Beyond,1h 54m,5.8,10K,Horror
126. Blood Star,1h 37m,6.3,6.3K,Horror
127. The Inheritance,1h 25m,4.7,3.2K,Horror
128. Things Will Be Different,1h 42m,5.2,3K,Horror
129. The Ruse,1h 45m,7.2,564,Horror
130. Custom,1h 16m,6.6,48,Horror
131. Devon,1h 12m,2.6,411,Horror
132. The Killgrin,1h 23m,5.9,104,Horror
133. A Desert,1h 43m,5.6,676,Horror
134. Ghost Train,1h 34m,4.9,112,Horror
135. Milk & Serial,1h 2m,6.6,2.8K,Horror
136. Handsome Guys,1h 41m,6.4,1.3K,Horror
137. Swap,1h 26m,2.7,446,Horror
138. The North Witch,1h 20m,4.2,152,Horror
139. The Front Room,1h 34m,4.6,6.1K,Horror
140. Munkar,1h 27m,5.2,583,Horror
141. Sumala,1h 52m,5.8,1.3K,Horror
142. Death's Sonata,1h 43m,8.4,565,Horror
143. Handling the Undead,1h 37m,5.3,4.7K,Horror
144. Consumed,1h 29m,3.7,736,Horror
145. Hotspring Sharkattack,1h 10m,5.7,132,Horror
146. Believer,1h 48m,4.6,490,Horror
147. #MissingCouple,1h 33m,5.3,842,Horror
148. Winnie-the-Pooh: Blood and Honey 2,1h 33m,4.6,12K,Horror
149. The Hostage,1h 27m,4.5,18,Horror
150. Crescent City,1h 43m,3.9,1.5K,Horror
151. Death Whisperer 2,1h 50m,6.3,1.6K,Horror
152. Compulsion,R,6.2,44,Horror
153. Beezel,1h 21m,4.9,1.7K,Horror
154. Desert Road,1h 30m,6.8,170,Horror
155. 1978,1h 20m,5.0,944,Horror
156. Bloody Axe Wound,1h 23m,5.0,1.1K,Horror
157. Scared Shitless,1h 16m,6.1,228,Horror
158. House of Spoils,1h 41m,5.0,4.1K,Horror
159. Conjuring the Cult,1h 33m,4.2,968,Horror
160. Carved,1h 35m,4.4,2.9K,Horror
161. The Painted,1h 25m,4.9,1.3K,Horror
162. The Witch: Revenge,1h 40m,5.3,911,Horror
163. The Radleys,1h 55m,5.0,3.2K,Horror
164. Here After,1h 33m,4.2,1.9K,Horror
165. Souls of the Damned,57m,3.6,41,Horror
166. Wynonna Earp: Vengeance,1h 36m,5.6,1.8K,Horror
167. The Beldham,1h 25m,7.0,49,Horror
168. Dancing Village: The Curse Begins,2h 2m,5.7,4.3K,Horror
169. Estela,1h 29m,5.9,45,Horror
170. Missing Child Videotape,1h 44m,5.5,283,Horror
171. Cinderella's Revenge,1h 25m,3.8,1.2K,Horror
172. Terminator: Skynet Rising,1h 28m,6.6,308,Horror
173. Test Screening,1h 32m,6.8,73,Horror
174. Dark Match,1h 34m,5.4,1.3K,Horror
175. The Dead Thing,1h 34m,4.7,1.1K,Horror
176. Hold Your Breath,1h 34m,5.3,9.2K,Horror
177. There's a Zombie Outside,1h 15m,3.6,131,Horror
178. Mr. Crocket,1h 28m,5.4,5.1K,Horror
179. Bhool Bhulaiyaa 3,2h 38m,4.6,78K,Horror
180. Exorcism Chronicles: The Beginning,1h 25m,6.4,153,Horror
181. The Last Breath,1h 36m,4.7,2.7K,Horror
182. The American Backyard,1h 47m,6.0,291,Horror
183. Else,1h 42m,5.4,592,Horror
184. A Very Special Terrifier Christmas,1h 10m,5.3,42,Horror
185. Fear Cabin: The Last Weekend of Summer,1h 17m,3.6,37,Horror
186. Ba,1h 19m,5.7,150,Horror
187. Outside,2h 22m,5.1,5K,Horror
188. Cinderella's Curse,1h 22m,3.4,1.4K,Horror
189. Heresy,1h 1m,6.8,339,Horror
190. The Only Ones,1h 17m,6.9,34,Horror
191. The Ceremony Is About to Begin,1h 10m,4.4,854,Horror
192. Dooba Dooba,1h 16m,6.8,17,Horror
193. The Matriarch,1h 22m,8.1,208,Horror
194. Sunrise,1h 33m,3.9,1.3K,Horror
195. Out Come the Wolves,1h 26m,4.7,1.8K,Horror
196. Phallacies,1h 41m,8.7,9,Horror
197. Last Night at Terrace Lanes,1h 15m,4.4,666,Horror
198. The Severed Sun,1h 20m,4.9,454,Horror
