title,duration,rating,voters,genre
111. Horror in the High Desert 3: Firewatch,1h 28m,5.4,799,Mystery
112. Oshi no Ko: The Final Act,2h 9m,6.1,218,Mystery
113. Inheritance,1h 34m,5.1,3.8K,Mystery
114. Pogumidam Vegu Thooramillai,2h 13m,7.3,3.9K,Mystery
115. The Girl in the Pool,1h 29m,4.3,1.7K,Mystery
116. Hunting Matthew Nichols,1h 36m,8.3,55,Mystery
117. Triumph,1h 38m,5.5,302,Mystery
118. The Best Christmas Pageant Ever,1h 39m,6.8,6.4K,Mystery
119. Athomugam,2h 10m,7.0,656,Mystery
120. At Her Feet,1h 40m,7.7,74,Mystery
121. Lunacy,1h 17m,5.0,67,Mystery
122. Murder Mubarak,2h 20m,5.8,51K,Mystery
123. Wicked Season,N/A,4.8,53,Mystery
124. Killer Body Count,1h 49m,4.7,704,Mystery
125. City Hunter,1h 42m,6.3,5.8K,Mystery
126. The Sand Castle,1h 38m,4.7,1.8K,Mystery
127. Bloodline Killer,1h 45m,4.3,5.4K,Mystery
128. Strictly Confidential,1h 34m,2.8,893,Mystery
129. Vina: Before 7 Days,1h 40m,5.3,675,Mystery
130. Kryptic,1h 42m,4.0,685,Mystery
131. Sheriff,2h 13m,6.9,1.2K,Mystery
132. Uninvited,1h 33m,5.6,378,Mystery
133. The Tiger's Apprentice,1h 24m,5.8,2.3K,Mystery
134. Room 0,1h 42m,3.1,220,Mystery
135. American Star,1h 47m,5.5,2.6K,Mystery
136. Abraham Ozler,2h 23m,6.6,4.7K,Mystery
137. Doctor X: The Movie,2h 8m,7.4,96,Mystery
138. Daft State,18+,5.9,57,Mystery
139. Somebody,1h 52m,7.5,104,Mystery
140. Paranoia,1h 35m,4.1,417,Mystery
141. Behave,1h 28m,2.7,243,Mystery
142. The Hangman,1h 32m,3.3,1.1K,Mystery
143. The Kingdom,2h 13m,7.0,162,Mystery
144. The Lost Daughter,1h 39m,5.6,348,Mystery
145. A Strange House,1h 50m,5.2,417,Mystery
146. Darah Nyai,1h 30m,7.0,8,Mystery
147. Kondal,2h 27m,5.3,813,Mystery
148. Detective Conan: The Million-Dollar Pentagram,1h 51m,6.7,1.7K,Mystery
149. Flesh of the Unforgiven,1h 28m,8.0,63,Mystery
