title,duration,rating,voters,genre
116. 200% Wolf,1h 38m,5.9,1.4K,Action
117. Escape,1h 34m,6.4,2.4K,Action
118. Blood Star,1h 37m,6.3,6.3K,Action
119. No Way Up,1h 30m,4.6,11K,Action
120. Hitpig,1h 26m,5.2,1.1K,Action
121. Lal Salaam,2h 30m,4.5,1.5K,Action
122. Pani,2h 23m,6.9,3.5K,Action
123. Aftermath,1h 37m,5.2,4.6K,Action
124. The Traveller,2h 14m,5.2,245,Action
125. Viduthalai Part 2,2h 50m,7.7,17K,Action
126. My Hero Academia: You're Next,1h 50m,6.9,2.8K,Action
127. Chief of Station,1h 37m,4.7,5K,Action
128. Singham Again,2h 24m,4.3,76K,Action
129. Escape from the 21st Century,1h 38m,6.4,1.1K,Action
130. One Fast Move,1h 48m,5.0,2.3K,Action
131. Code 8: Part II,1h 40m,5.7,16K,Action
132. Chandu Champion,2h 22m,7.8,35K,Action
133. Ultraman: Rising,1h 57m,6.9,6.9K,Action
134. Handsome Guys,1h 41m,6.4,1.3K,Action
135. Badland Hunters,1h 47m,5.9,13K,Action
136. Gunner,1h 46m,3.2,3.1K,Action
137. The Clean Up Crew,1h 35m,4.2,1.4K,Action
138. Despatch,2h 33m,4.4,4.8K,Action
139. Sikandar Ka Muqaddar,2h 22m,6.0,25K,Action
140. Justice League: Crisis on Infinite Earths - Part Two,1h 34m,5.6,5.9K,Action
141. Thangalaan,2h 36m,6.5,6.9K,Action
142. The Roundup: Punishment,1h 49m,6.6,6K,Action
143. Trouble,1h 38m,6.2,7.3K,Action
144. Classified,1h 45m,3.7,3K,Action
145. The Quiet Ones,1h 50m,6.1,1.3K,Action
146. Everybody Loves Jenifa,2h 15m,7.4,107,Action
147. Zero,1h 28m,5.8,91,Action
148. Prey,1h 26m,3.7,3.7K,Action
149. Devara Part 1,2h 56m,6.0,22K,Action
150. Yolo,2h 9m,6.9,4K,Action
151. Guntur Kaaram,2h 39m,5.4,25K,Action
152. Hotspring Sharkattack,1h 10m,5.7,132,Action
153. Elyas,1h 45m,6.1,1.8K,Action
154. Die Hart 2: Die Harter,1h 32m,4.3,5.7K,Action
155. Overlord: The Sacred Kingdom,2h 15m,6.8,1.6K,Action
156. Death Whisperer 2,1h 50m,6.3,1.6K,Action
157. Revolver,1h 54m,5.5,1K,Action
158. Harbin,1h 48m,6.2,1.2K,Action
159. Yodha,2h 10m,5.7,9.1K,Action
160. Raayan,2h 25m,6.5,13K,Action
161. Bade Miyan Chote Miyan,2h 43m,3.8,40K,Action
162. Ayalaan,2h 35m,5.9,4.1K,Action
163. The Thundermans Return,1h 10m,5.0,2K,Action
164. UI,2h 15m,6.7,5.9K,Action
165. Cash Out,1h 32m,4.8,3.3K,Action
166. The Wages of Fear,1h 44m,4.6,4.3K,Action
167. Paradox Effect,1h 27m,6.0,11K,Action
168. Alienoid: The Return to the Future,2h 2m,6.5,2.9K,Action
169. Jigra,2h 33m,6.0,24K,Action
